Jurisdiction,Month,Year,Number
Alberta,January,1990,1
Alberta,October,1990,34
Alberta,November,1990,16
Alberta,December,1990,4
Alberta,February,1990,5
Alberta,March,1990,8
Alberta,April,1990,26
Alberta,May,1990,114
Alberta,June,1990,214
Alberta,July,1990,446
Alberta,August,1990,381
Alberta,September,1990,117
British Columbia,October,1990,60
British Columbia,November,1990,6
British Columbia,February,1990,3
British Columbia,March,1990,35
British Columbia,April,1990,147
British Columbia,May,1990,235
British Columbia,June,1990,95
British Columbia,July,1990,775
British Columbia,August,1990,1563
British Columbia,September,1990,336
Manitoba,October,1990,36
Manitoba,November,1990,13
Manitoba,December,1990,1
Manitoba,April,1990,39
Manitoba,May,1990,71
Manitoba,June,1990,85
Manitoba,July,1990,90
Manitoba,August,1990,176
Manitoba,September,1990,51
New Brunswick,October,1990,4
New Brunswick,March,1990,1
New Brunswick,April,1990,42
New Brunswick,May,1990,71
New Brunswick,June,1990,100
New Brunswick,July,1990,114
New Brunswick,August,1990,32
New Brunswick,September,1990,13
Newfoundland and Labrador,October,1990,3
Newfoundland and Labrador,March,1990,2
Newfoundland and Labrador,April,1990,5
Newfoundland and Labrador,May,1990,19
Newfoundland and Labrador,June,1990,36
Newfoundland and Labrador,July,1990,29
Newfoundland and Labrador,August,1990,30
Newfoundland and Labrador,September,1990,41
Nova Scotia,October,1990,9
Nova Scotia,November,1990,1
Nova Scotia,March,1990,34
Nova Scotia,April,1990,89
Nova Scotia,May,1990,134
Nova Scotia,June,1990,58
Nova Scotia,July,1990,74
Nova Scotia,August,1990,62
Nova Scotia,September,1990,36
Northwest Territories,May,1990,10
Northwest Territories,June,1990,98
Northwest Territories,July,1990,113
Northwest Territories,August,1990,13
Northwest Territories,September,1990,2
Ontario,October,1990,31
Ontario,November,1990,16
Ontario,March,1990,62
Ontario,April,1990,185
Ontario,May,1990,242
Ontario,June,1990,111
Ontario,July,1990,237
Ontario,August,1990,543
Ontario,September,1990,185
Prince Edward Island,April,1990,7
Prince Edward Island,August,1990,1
Prince Edward Island,December,1990,0
Prince Edward Island,February,1990,0
Prince Edward Island,January,1990,0
Prince Edward Island,July,1990,6
Prince Edward Island,June,1990,8
Prince Edward Island,March,1990,0
Prince Edward Island,May,1990,13
Prince Edward Island,November,1990,2
Prince Edward Island,October,1990,0
Prince Edward Island,September,1990,1
Prince Edward Island,Unspecified,1990,0
Quebec,October,1990,4
Quebec,March,1990,1
Quebec,April,1990,59
Quebec,May,1990,214
Quebec,June,1990,139
Quebec,July,1990,178
Quebec,August,1990,138
Quebec,September,1990,118
Saskatchewan,October,1990,10
Saskatchewan,March,1990,2
Saskatchewan,April,1990,18
Saskatchewan,May,1990,103
Saskatchewan,June,1990,275
Saskatchewan,July,1990,130
Saskatchewan,August,1990,314
Saskatchewan,September,1990,45
Yukon,October,1990,2
Yukon,April,1990,3
Yukon,May,1990,15
Yukon,June,1990,19
Yukon,July,1990,69
Yukon,August,1990,32
Yukon,September,1990,14
Alberta,January,1991,9
Alberta,October,1991,66
Alberta,November,1991,6
Alberta,December,1991,7
Alberta,February,1991,4
Alberta,March,1991,8
Alberta,April,1991,111
Alberta,May,1991,201
Alberta,June,1991,114
Alberta,July,1991,125
Alberta,August,1991,239
Alberta,September,1991,54
British Columbia,January,1991,2
British Columbia,October,1991,248
British Columbia,November,1991,5
British Columbia,February,1991,5
British Columbia,March,1991,25
British Columbia,April,1991,204
British Columbia,May,1991,193
British Columbia,June,1991,291
British Columbia,July,1991,296
British Columbia,August,1991,573
British Columbia,September,1991,172
Manitoba,January,1991,5
Manitoba,October,1991,6
Manitoba,February,1991,3
Manitoba,March,1991,12
Manitoba,April,1991,109
Manitoba,May,1991,75
Manitoba,June,1991,77
Manitoba,July,1991,142
Manitoba,August,1991,222
Manitoba,September,1991,21
New Brunswick,October,1991,7
New Brunswick,November,1991,1
New Brunswick,April,1991,91
New Brunswick,May,1991,154
New Brunswick,June,1991,150
New Brunswick,July,1991,141
New Brunswick,August,1991,92
New Brunswick,September,1991,20
Newfoundland and Labrador,April,1991,4
Newfoundland and Labrador,May,1991,29
Newfoundland and Labrador,June,1991,38
Newfoundland and Labrador,July,1991,12
Newfoundland and Labrador,August,1991,32
Nova Scotia,October,1991,1
Nova Scotia,March,1991,26
Nova Scotia,April,1991,208
Nova Scotia,May,1991,174
Nova Scotia,June,1991,145
Nova Scotia,July,1991,162
Nova Scotia,August,1991,10
Northwest Territories,May,1991,5
Northwest Territories,June,1991,59
Northwest Territories,July,1991,149
Northwest Territories,August,1991,117
Northwest Territories,September,1991,1
Ontario,October,1991,11
Ontario,November,1991,12
Ontario,December,1991,1
Ontario,March,1991,12
Ontario,April,1991,210
Ontario,May,1991,231
Ontario,June,1991,415
Ontario,July,1991,586
Ontario,August,1991,944
Ontario,September,1991,138
Prince Edward Island,April,1991,17
Prince Edward Island,August,1991,2
Prince Edward Island,December,1991,0
Prince Edward Island,February,1991,0
Prince Edward Island,January,1991,0
Prince Edward Island,July,1991,3
Prince Edward Island,June,1991,8
Prince Edward Island,March,1991,2
Prince Edward Island,May,1991,16
Prince Edward Island,November,1991,0
Prince Edward Island,October,1991,0
Prince Edward Island,September,1991,0
Prince Edward Island,Unspecified,1991,0
Quebec,October,1991,6
Quebec,November,1991,5
Quebec,March,1991,1
Quebec,April,1991,64
Quebec,May,1991,220
Quebec,June,1991,408
Quebec,July,1991,318
Quebec,August,1991,162
Quebec,September,1991,32
Saskatchewan,January,1991,2
Saskatchewan,October,1991,31
Saskatchewan,November,1991,14
Saskatchewan,December,1991,2
Saskatchewan,March,1991,1
Saskatchewan,April,1991,79
Saskatchewan,May,1991,127
Saskatchewan,June,1991,75
Saskatchewan,July,1991,111
Saskatchewan,August,1991,272
Saskatchewan,September,1991,48
Yukon,April,1991,8
Yukon,May,1991,28
Yukon,June,1991,109
Yukon,July,1991,33
Yukon,August,1991,9
Alberta,January,1992,14
Alberta,October,1992,29
Alberta,November,1992,15
Alberta,December,1992,4
Alberta,February,1992,11
Alberta,March,1992,61
Alberta,April,1992,110
Alberta,May,1992,91
Alberta,June,1992,147
Alberta,July,1992,226
Alberta,August,1992,339
Alberta,September,1992,14
British Columbia,January,1992,6
British Columbia,October,1992,126
British Columbia,November,1992,4
British Columbia,December,1992,1
British Columbia,February,1992,2
British Columbia,March,1992,70
British Columbia,April,1992,155
British Columbia,May,1992,243
British Columbia,June,1992,705
British Columbia,July,1992,493
British Columbia,August,1992,1803
British Columbia,September,1992,197
Manitoba,October,1992,4
Manitoba,February,1992,1
Manitoba,March,1992,1
Manitoba,April,1992,7
Manitoba,May,1992,76
Manitoba,June,1992,45
Manitoba,July,1992,57
Manitoba,August,1992,102
Manitoba,September,1992,5
New Brunswick,October,1992,14
New Brunswick,April,1992,50
New Brunswick,May,1992,345
New Brunswick,June,1992,78
New Brunswick,July,1992,24
New Brunswick,August,1992,42
New Brunswick,September,1992,23
Newfoundland and Labrador,April,1992,2
Newfoundland and Labrador,May,1992,47
Newfoundland and Labrador,June,1992,15
Newfoundland and Labrador,July,1992,13
Newfoundland and Labrador,August,1992,26
Newfoundland and Labrador,September,1992,3
Nova Scotia,October,1992,13
Nova Scotia,April,1992,43
Nova Scotia,May,1992,138
Nova Scotia,June,1992,46
Nova Scotia,July,1992,19
Nova Scotia,August,1992,18
Nova Scotia,September,1992,19
Northwest Territories,May,1992,9
Northwest Territories,June,1992,31
Northwest Territories,July,1992,130
Northwest Territories,August,1992,100
Northwest Territories,September,1992,15
Ontario,October,1992,11
Ontario,March,1992,2
Ontario,April,1992,58
Ontario,May,1992,347
Ontario,June,1992,380
Ontario,July,1992,60
Ontario,August,1992,94
Ontario,September,1992,8
Prince Edward Island,April,1992,7
Prince Edward Island,August,1992,0
Prince Edward Island,December,1992,0
Prince Edward Island,February,1992,0
Prince Edward Island,January,1992,0
Prince Edward Island,July,1992,0
Prince Edward Island,June,1992,3
Prince Edward Island,March,1992,0
Prince Edward Island,May,1992,14
Prince Edward Island,November,1992,0
Prince Edward Island,October,1992,1
Prince Edward Island,September,1992,2
Prince Edward Island,Unspecified,1992,0
Quebec,October,1992,7
Quebec,November,1992,2
Quebec,April,1992,44
Quebec,May,1992,405
Quebec,June,1992,180
Quebec,July,1992,54
Quebec,August,1992,59
Quebec,September,1992,14
Saskatchewan,October,1992,7
Saskatchewan,November,1992,2
Saskatchewan,March,1992,3
Saskatchewan,April,1992,50
Saskatchewan,May,1992,103
Saskatchewan,June,1992,151
Saskatchewan,July,1992,150
Saskatchewan,August,1992,215
Saskatchewan,September,1992,18
Yukon,May,1992,9
Yukon,June,1992,26
Yukon,July,1992,72
Yukon,August,1992,9
Alberta,January,1993,8
Alberta,October,1993,19
Alberta,November,1993,7
Alberta,December,1993,1
Alberta,February,1993,12
Alberta,March,1993,29
Alberta,April,1993,52
Alberta,May,1993,242
Alberta,June,1993,342
Alberta,July,1993,112
Alberta,August,1993,35
Alberta,September,1993,17
British Columbia,January,1993,3
British Columbia,October,1993,119
British Columbia,November,1993,10
British Columbia,February,1993,16
British Columbia,March,1993,34
British Columbia,April,1993,77
British Columbia,May,1993,322
British Columbia,June,1993,189
British Columbia,July,1993,153
British Columbia,August,1993,274
British Columbia,September,1993,300
Manitoba,October,1993,1
Manitoba,March,1993,2
Manitoba,April,1993,39
Manitoba,May,1993,67
Manitoba,June,1993,97
Manitoba,July,1993,24
Manitoba,August,1993,6
Manitoba,September,1993,3
New Brunswick,October,1993,3
New Brunswick,April,1993,60
New Brunswick,May,1993,195
New Brunswick,June,1993,40
New Brunswick,July,1993,32
New Brunswick,August,1993,72
New Brunswick,September,1993,28
Newfoundland and Labrador,October,1993,4
Newfoundland and Labrador,April,1993,1
Newfoundland and Labrador,May,1993,13
Newfoundland and Labrador,June,1993,24
Newfoundland and Labrador,July,1993,5
Newfoundland and Labrador,August,1993,13
Newfoundland and Labrador,September,1993,5
Nova Scotia,October,1993,4
Nova Scotia,April,1993,78
Nova Scotia,May,1993,110
Nova Scotia,June,1993,20
Nova Scotia,July,1993,21
Nova Scotia,August,1993,43
Nova Scotia,September,1993,26
Northwest Territories,December,1993,2
Northwest Territories,May,1993,13
Northwest Territories,June,1993,175
Northwest Territories,July,1993,249
Northwest Territories,August,1993,30
Northwest Territories,September,1993,4
Ontario,October,1993,10
Ontario,November,1993,4
Ontario,December,1993,2
Ontario,March,1993,1
Ontario,April,1993,112
Ontario,May,1993,171
Ontario,June,1993,129
Ontario,July,1993,158
Ontario,August,1993,144
Ontario,September,1993,11
Prince Edward Island,April,1993,0
Prince Edward Island,August,1993,0
Prince Edward Island,December,1993,0
Prince Edward Island,February,1993,0
Prince Edward Island,January,1993,0
Prince Edward Island,July,1993,0
Prince Edward Island,June,1993,2
Prince Edward Island,March,1993,0
Prince Edward Island,May,1993,26
Prince Edward Island,November,1993,0
Prince Edward Island,October,1993,0
Prince Edward Island,September,1993,1
Prince Edward Island,Unspecified,1993,0
Quebec,October,1993,4
Quebec,November,1993,1
Quebec,April,1993,32
Quebec,May,1993,188
Quebec,June,1993,98
Quebec,July,1993,129
Quebec,August,1993,81
Quebec,September,1993,10
Saskatchewan,January,1993,2
Saskatchewan,October,1993,3
Saskatchewan,November,1993,2
Saskatchewan,February,1993,1
Saskatchewan,March,1993,21
Saskatchewan,April,1993,47
Saskatchewan,May,1993,219
Saskatchewan,June,1993,216
Saskatchewan,July,1993,82
Saskatchewan,August,1993,30
Saskatchewan,September,1993,22
Yukon,October,1993,1
Yukon,April,1993,1
Yukon,May,1993,21
Yukon,June,1993,45
Yukon,July,1993,48
Yukon,August,1993,10
Yukon,September,1993,10
Alberta,January,1994,4
Alberta,October,1994,25
Alberta,November,1994,30
Alberta,December,1994,9
Alberta,March,1994,12
Alberta,April,1994,64
Alberta,May,1994,132
Alberta,June,1994,231
Alberta,July,1994,223
Alberta,August,1994,118
Alberta,September,1994,83
British Columbia,January,1994,6
British Columbia,October,1994,70
British Columbia,November,1994,1
British Columbia,February,1994,2
British Columbia,March,1994,66
British Columbia,April,1994,142
British Columbia,May,1994,212
British Columbia,June,1994,172
British Columbia,July,1994,1030
British Columbia,August,1994,2118
British Columbia,September,1994,238
Manitoba,October,1994,7
Manitoba,November,1994,1
Manitoba,March,1994,1
Manitoba,April,1994,49
Manitoba,May,1994,115
Manitoba,June,1994,170
Manitoba,July,1994,82
Manitoba,August,1994,73
Manitoba,September,1994,57
New Brunswick,October,1994,137
New Brunswick,November,1994,22
New Brunswick,April,1994,41
New Brunswick,May,1994,89
New Brunswick,June,1994,37
New Brunswick,July,1994,48
New Brunswick,August,1994,104
New Brunswick,September,1994,40
Newfoundland and Labrador,October,1994,1
Newfoundland and Labrador,April,1994,3
Newfoundland and Labrador,May,1994,15
Newfoundland and Labrador,June,1994,35
Newfoundland and Labrador,July,1994,35
Newfoundland and Labrador,August,1994,35
Newfoundland and Labrador,September,1994,5
Nova Scotia,October,1994,22
Nova Scotia,November,1994,14
Nova Scotia,March,1994,1
Nova Scotia,April,1994,63
Nova Scotia,May,1994,33
Nova Scotia,June,1994,28
Nova Scotia,July,1994,57
Nova Scotia,August,1994,23
Nova Scotia,September,1994,22
Northwest Territories,January,1994,2
Northwest Territories,October,1994,8
Northwest Territories,November,1994,1
Northwest Territories,December,1994,1
Northwest Territories,February,1994,1
Northwest Territories,April,1994,1
Northwest Territories,May,1994,37
Northwest Territories,June,1994,185
Northwest Territories,July,1994,326
Northwest Territories,August,1994,78
Northwest Territories,September,1994,13
Ontario,October,1994,27
Ontario,November,1994,7
Ontario,March,1994,4
Ontario,April,1994,222
Ontario,May,1994,266
Ontario,June,1994,412
Ontario,July,1994,59
Ontario,August,1994,55
Ontario,September,1994,27
Prince Edward Island,April,1994,12
Prince Edward Island,August,1994,7
Prince Edward Island,December,1994,0
Prince Edward Island,February,1994,0
Prince Edward Island,January,1994,0
Prince Edward Island,July,1994,4
Prince Edward Island,June,1994,3
Prince Edward Island,March,1994,0
Prince Edward Island,May,1994,3
Prince Edward Island,November,1994,7
Prince Edward Island,October,1994,4
Prince Edward Island,September,1994,3
Prince Edward Island,Unspecified,1994,0
Quebec,October,1994,46
Quebec,November,1994,7
Quebec,April,1994,15
Quebec,May,1994,218
Quebec,June,1994,139
Quebec,July,1994,27
Quebec,August,1994,30
Quebec,September,1994,17
Saskatchewan,January,1994,1
Saskatchewan,October,1994,10
Saskatchewan,March,1994,1
Saskatchewan,April,1994,28
Saskatchewan,May,1994,95
Saskatchewan,June,1994,153
Saskatchewan,July,1994,74
Saskatchewan,August,1994,193
Saskatchewan,September,1994,142
Yukon,April,1994,5
Yukon,May,1994,16
Yukon,June,1994,47
Yukon,July,1994,113
Yukon,August,1994,73
Yukon,September,1994,1
Alberta,January,1995,10
Alberta,October,1995,33
Alberta,November,1995,5
Alberta,February,1995,6
Alberta,March,1995,29
Alberta,April,1995,57
Alberta,May,1995,215
Alberta,June,1995,272
Alberta,July,1995,97
Alberta,August,1995,26
Alberta,September,1995,58
British Columbia,January,1995,5
British Columbia,October,1995,15
British Columbia,November,1995,5
British Columbia,February,1995,5
British Columbia,March,1995,61
British Columbia,April,1995,181
British Columbia,May,1995,316
British Columbia,June,1995,281
British Columbia,July,1995,277
British Columbia,August,1995,90
British Columbia,September,1995,238
Manitoba,October,1995,21
Manitoba,April,1995,13
Manitoba,May,1995,154
Manitoba,June,1995,344
Manitoba,July,1995,90
Manitoba,August,1995,28
Manitoba,September,1995,12
New Brunswick,October,1995,11
New Brunswick,November,1995,2
New Brunswick,April,1995,28
New Brunswick,May,1995,71
New Brunswick,June,1995,116
New Brunswick,July,1995,89
New Brunswick,August,1995,156
New Brunswick,September,1995,74
Newfoundland and Labrador,April,1995,3
Newfoundland and Labrador,May,1995,23
Newfoundland and Labrador,June,1995,20
Newfoundland and Labrador,July,1995,14
Newfoundland and Labrador,August,1995,23
Newfoundland and Labrador,September,1995,3
Nova Scotia,October,1995,4
Nova Scotia,November,1995,2
Nova Scotia,March,1995,28
Nova Scotia,April,1995,80
Nova Scotia,May,1995,145
Nova Scotia,June,1995,49
Nova Scotia,July,1995,26
Nova Scotia,August,1995,36
Nova Scotia,September,1995,37
Northwest Territories,October,1995,1
Northwest Territories,November,1995,3
Northwest Territories,April,1995,1
Northwest Territories,May,1995,24
Northwest Territories,June,1995,79
Northwest Territories,July,1995,56
Northwest Territories,August,1995,47
Northwest Territories,September,1995,7
Ontario,October,1995,36
Ontario,November,1995,2
Ontario,March,1995,137
Ontario,April,1995,128
Ontario,May,1995,230
Ontario,June,1995,900
Ontario,July,1995,150
Ontario,August,1995,442
Ontario,September,1995,125
Prince Edward Island,April,1995,0
Prince Edward Island,August,1995,7
Prince Edward Island,December,1995,0
Prince Edward Island,February,1995,0
Prince Edward Island,January,1995,0
Prince Edward Island,July,1995,3
Prince Edward Island,June,1995,2
Prince Edward Island,March,1995,0
Prince Edward Island,May,1995,11
Prince Edward Island,November,1995,0
Prince Edward Island,October,1995,2
Prince Edward Island,September,1995,4
Prince Edward Island,Unspecified,1995,0
Quebec,October,1995,23
Quebec,November,1995,1
Quebec,March,1995,9
Quebec,April,1995,33
Quebec,May,1995,139
Quebec,June,1995,470
Quebec,July,1995,170
Quebec,August,1995,367
Quebec,September,1995,53
Saskatchewan,October,1995,9
Saskatchewan,November,1995,3
Saskatchewan,December,1995,1
Saskatchewan,April,1995,10
Saskatchewan,May,1995,222
Saskatchewan,June,1995,283
Saskatchewan,July,1995,85
Saskatchewan,August,1995,18
Saskatchewan,September,1995,20
Yukon,Unspecified,1995,1
Yukon,November,1995,1
Yukon,March,1995,1
Yukon,April,1995,4
Yukon,May,1995,31
Yukon,June,1995,80
Yukon,July,1995,22
Yukon,August,1995,6
Yukon,September,1995,2
Alberta,January,1996,1
Alberta,October,1996,7
Alberta,November,1996,2
Alberta,December,1996,2
Alberta,March,1996,1
Alberta,April,1996,26
Alberta,May,1996,56
Alberta,June,1996,124
Alberta,July,1996,89
Alberta,August,1996,76
Alberta,September,1996,14
British Columbia,January,1996,5
British Columbia,October,1996,16
British Columbia,November,1996,1
British Columbia,December,1996,2
British Columbia,February,1996,3
British Columbia,March,1996,31
British Columbia,April,1996,60
British Columbia,May,1996,82
British Columbia,June,1996,155
British Columbia,July,1996,452
British Columbia,August,1996,489
British Columbia,September,1996,64
Manitoba,Unspecified,1996,2
Manitoba,October,1996,4
Manitoba,April,1996,1
Manitoba,May,1996,77
Manitoba,June,1996,103
Manitoba,July,1996,155
Manitoba,August,1996,59
Manitoba,September,1996,23
New Brunswick,October,1996,13
New Brunswick,November,1996,1
New Brunswick,March,1996,1
New Brunswick,April,1996,26
New Brunswick,May,1996,75
New Brunswick,June,1996,129
New Brunswick,July,1996,11
New Brunswick,August,1996,74
New Brunswick,September,1996,37
Newfoundland and Labrador,October,1996,2
Newfoundland and Labrador,April,1996,13
Newfoundland and Labrador,May,1996,23
Newfoundland and Labrador,June,1996,12
Newfoundland and Labrador,July,1996,4
Newfoundland and Labrador,August,1996,48
Newfoundland and Labrador,September,1996,9
Nova Scotia,October,1996,3
Nova Scotia,March,1996,55
Nova Scotia,April,1996,65
Nova Scotia,May,1996,66
Nova Scotia,June,1996,45
Nova Scotia,July,1996,9
Nova Scotia,August,1996,20
Nova Scotia,September,1996,7
Northwest Territories,April,1996,1
Northwest Territories,May,1996,11
Northwest Territories,June,1996,182
Northwest Territories,July,1996,134
Northwest Territories,August,1996,22
Ontario,Unspecified,1996,1
Ontario,October,1996,11
Ontario,March,1996,7
Ontario,April,1996,30
Ontario,May,1996,241
Ontario,June,1996,570
Ontario,July,1996,198
Ontario,August,1996,144
Ontario,September,1996,73
Prince Edward Island,April,1996,0
Prince Edward Island,August,1996,0
Prince Edward Island,December,1996,0
Prince Edward Island,February,1996,0
Prince Edward Island,January,1996,0
Prince Edward Island,July,1996,0
Prince Edward Island,June,1996,0
Prince Edward Island,March,1996,0
Prince Edward Island,May,1996,0
Prince Edward Island,November,1996,0
Prince Edward Island,October,1996,0
Prince Edward Island,September,1996,0
Prince Edward Island,Unspecified,1996,0
Quebec,October,1996,19
Quebec,November,1996,1
Quebec,April,1996,5
Quebec,May,1996,163
Quebec,June,1996,706
Quebec,July,1996,55
Quebec,August,1996,209
Quebec,September,1996,92
Saskatchewan,January,1996,1
Saskatchewan,October,1996,3
Saskatchewan,February,1996,1
Saskatchewan,April,1996,6
Saskatchewan,May,1996,62
Saskatchewan,June,1996,123
Saskatchewan,July,1996,161
Saskatchewan,August,1996,53
Saskatchewan,September,1996,15
Yukon,March,1996,2
Yukon,April,1996,2
Yukon,May,1996,19
Yukon,June,1996,72
Yukon,July,1996,44
Yukon,August,1996,7
Yukon,September,1996,3
Alberta,January,1997,1
Alberta,October,1997,3
Alberta,November,1997,1
Alberta,December,1997,32
Alberta,March,1997,4
Alberta,April,1997,24
Alberta,May,1997,120
Alberta,June,1997,34
Alberta,July,1997,148
Alberta,August,1997,79
Alberta,September,1997,17
British Columbia,October,1997,3
British Columbia,November,1997,3
British Columbia,December,1997,2
British Columbia,February,1997,2
British Columbia,March,1997,6
British Columbia,April,1997,86
British Columbia,May,1997,131
British Columbia,June,1997,95
British Columbia,July,1997,172
British Columbia,August,1997,514
British Columbia,September,1997,162
Manitoba,Unspecified,1997,1
Manitoba,October,1997,1
Manitoba,April,1997,8
Manitoba,May,1997,83
Manitoba,June,1997,87
Manitoba,July,1997,102
Manitoba,August,1997,83
Manitoba,September,1997,8
New Brunswick,October,1997,45
New Brunswick,November,1997,2
New Brunswick,April,1997,16
New Brunswick,May,1997,72
New Brunswick,June,1997,68
New Brunswick,July,1997,77
New Brunswick,August,1997,75
New Brunswick,September,1997,13
Newfoundland and Labrador,May,1997,15
Newfoundland and Labrador,June,1997,25
Newfoundland and Labrador,July,1997,26
Newfoundland and Labrador,August,1997,11
Newfoundland and Labrador,September,1997,1
Nova Scotia,October,1997,30
Nova Scotia,March,1997,1
Nova Scotia,April,1997,44
Nova Scotia,May,1997,77
Nova Scotia,June,1997,35
Nova Scotia,July,1997,108
Nova Scotia,August,1997,59
Nova Scotia,September,1997,16
Northwest Territories,May,1997,1
